timestamp,username,src_ip,action,geo
2026-08-20T09:14:00,a.green,10.10.10.21,success,US-NC
2026-08-20T09:49:00,j.smith,10.10.10.15,success,US-NC
2026-08-20T10:01:00,m.turner,10.10.20.5,success,US-NC
2026-08-20T11:48:00,m.turner,10.10.20.5,success,US-NC
2026-08-20T12:12:00,j.smith,10.10.10.15,success,US-NC
2026-08-20T12:21:00,j.smith,10.10.10.15,success,US-NC
2026-08-20T12:26:00,r.brown,10.10.20.9,success,US-NC
2026-08-20T12:29:00,m.turner,10.10.20.5,success,US-NC
2026-08-20T12:37:00,j.smith,10.10.10.15,success,US-NC
2026-08-20T12:58:00,a.green,10.10.10.21,success,US-NC
2026-08-20T13:10:00,a.green,10.10.10.21,success,US-NC
2026-08-20T13:23:00,r.brown,10.10.20.9,success,US-NC
2026-08-20T14:06:00,r.brown,10.10.20.9,success,US-NC
2026-08-20T14:09:00,r.brown,10.10.20.9,success,US-NC
2026-08-20T14:43:00,m.turner,10.10.20.5,success,US-NC
2026-08-20T14:46:00,m.turner,10.10.20.5,success,US-NC
2026-08-20T15:40:00,a.green,10.10.10.21,success,US-NC
2026-08-20T15:57:00,a.green,10.10.10.21,success,US-NC
2026-08-20T16:48:00,r.brown,10.10.20.9,success,US-NC
2026-08-20T16:59:00,j.smith,10.10.10.15,success,US-NC
2026-08-21T02:15:00,j.smith,203.0.113.44,failure,US-VA
2026-08-21T02:15:20,j.smith,203.0.113.44,failure,US-VA
2026-08-21T02:15:40,j.smith,203.0.113.44,failure,US-VA
2026-08-21T02:16:00,j.smith,203.0.113.44,failure,US-VA
2026-08-21T02:16:20,j.smith,203.0.113.44,failure,US-VA
2026-08-21T02:16:40,j.smith,203.0.113.44,failure,US-VA
2026-08-21T02:17:00,j.smith,203.0.113.44,failure,US-VA
2026-08-21T02:17:20,j.smith,203.0.113.44,failure,US-VA
2026-08-21T02:19:00,j.smith,203.0.113.44,success,US-VA
2026-08-21T08:10:00,j.smith,10.10.10.15,success,US-NC
2026-08-21T08:28:00,a.green,10.10.10.21,success,US-NC
2026-08-21T09:11:00,a.green,10.10.10.21,success,US-NC
2026-08-21T09:25:00,a.green,10.10.10.21,success,US-NC
2026-08-21T09:36:00,r.brown,10.10.20.9,success,US-NC
2026-08-21T09:36:00,r.brown,10.10.20.9,success,US-NC
2026-08-21T09:54:00,r.brown,10.10.20.9,success,US-NC
2026-08-21T10:05:00,a.green,10.10.10.21,success,US-NC
2026-08-21T10:33:00,j.smith,10.10.10.15,success,US-NC
2026-08-21T10:44:00,j.smith,10.10.10.15,success,US-NC
2026-08-21T10:48:00,j.smith,10.10.10.15,success,US-NC
2026-08-21T11:05:00,r.brown,10.10.20.9,success,US-NC
2026-08-21T11:29:00,m.turner,10.10.20.5,success,US-NC
2026-08-21T12:30:00,a.green,192.0.2.77,failure,US-NY
2026-08-21T12:30:00,j.smith,192.0.2.77,failure,US-NY
2026-08-21T12:30:00,m.turner,192.0.2.77,failure,US-NY
2026-08-21T12:30:00,r.brown,192.0.2.77,failure,US-NY
2026-08-21T12:40:00,m.turner,10.10.20.5,success,US-NC
2026-08-21T12:41:00,j.smith,10.10.10.15,success,US-NC
2026-08-21T13:45:00,a.green,10.10.10.21,success,US-NC
2026-08-21T14:12:00,r.brown,10.10.20.9,success,US-NC
2026-08-21T14:31:00,m.turner,10.10.20.5,success,US-NC
2026-08-21T14:53:00,m.turner,10.10.20.5,success,US-NC
2026-08-21T15:29:00,m.turner,10.10.20.5,success,US-NC
2026-08-21T23:48:00,a.green,198.51.100.90,success,DE-BE
